,adult_families_in_shelter,adults_in_families_with_children_in_shelter,children_in_families_with_children_in_shelter,date_of_census,families_with_children_in_shelter,individuals_in_adult_families_in_shelter,single_adult_men_in_shelter,single_adult_women_in_shelter,total_adults_in_shelter,total_children_in_shelter,total_individuals_in_families_with_children_in_shelter_,total_individuals_in_shelter,total_single_adults_in_shelter,individuals_in_shelter
397,2120,17100,24763,2014-10-20T00:00:00.000,11938,4455.0,7941,3084,32580,24763,41863,57343,11025,
398,2111,17087,24755,2014-10-21T00:00:00.000,11925,4437.0,7953,3091,32568,24755,41842,57323,11044,
399,2109,17086,24760,2014-10-22T00:00:00.000,11933,4430.0,8014,3100,32630,24760,41846,57390,11114,
400,2101,17115,24783,2014-10-23T00:00:00.000,11948,4420.0,7993,3121,32649,24783,41898,57432,11114,
401,2110,17125,24815,2014-10-24T00:00:00.000,11962,4438.0,7892,3094,32549,24815,41940,57364,10986,
402,2098,17131,24827,2014-10-25T00:00:00.000,11969,4417.0,7878,3090,32516,24827,41958,57343,10968,
403,2102,17163,24871,2014-10-26T00:00:00.000,12000,4426.0,7974,3114,32677,24871,42034,57548,11088,
404,2106,17152,24839,2014-10-27T00:00:00.000,11986,4436.0,7940,3123,32651,24839,41991,57490,11063,
405,2104,17140,24822,2014-10-28T00:00:00.000,11966,4432.0,7948,3138,32658,24822,41962,57480,11086,
406,2100,17166,24868,2014-10-29T00:00:00.000,11992,4424.0,7958,3124,32672,24868,42034,57540,11082,
407,2102,17192,24924,2014-10-30T00:00:00.000,12013,4434.0,7917,3119,32662,24924,42116,57586,11036,
408,2105,17213,24946,2014-10-31T00:00:00.000,12031,4439.0,7852,3080,32584,24946,42159,57530,10932,
409,2104,17203,24928,2014-11-01T00:00:00.000,12024,4438.0,7886,3096,32623,24928,42131,57551,10982,
410,2099,17214,24932,2014-11-02T00:00:00.000,12024,4428.0,7961,3110,32713,24932,42146,57645,11071,
411,2107,17221,24925,2014-11-03T00:00:00.000,12027,4444.0,7976,3099,32740,24925,42146,57665,11075,
412,2115,17256,24936,2014-11-04T00:00:00.000,12055,4461.0,7975,3101,32793,24936,42192,57729,11076,
413,2108,17235,24897,2014-11-05T00:00:00.000,12031,4447.0,7963,3104,32749,24897,42132,57646,11067,
414,2111,17242,24907,2014-11-06T00:00:00.000,12051,4454.0,7939,3106,32741,24907,42149,57648,11045,
415,2119,17233,24946,2014-11-07T00:00:00.000,12048,4473.0,7932,3092,32730,24946,42179,57676,11024,
416,2129,17314,25065,2014-11-08T00:00:00.000,12105,4493.0,7926,3080,32813,25065,42379,57878,11006,
417,2139,17343,25087,2014-11-09T00:00:00.000,12126,4515.0,7986,3123,32967,25087,42430,58054,11109,
418,2138,17327,25074,2014-11-10T00:00:00.000,12108,4511.0,7999,3121,32958,25074,42401,58032,11120,
419,2135,17341,25087,2014-11-11T00:00:00.000,12112,4505.0,8005,3122,32973,25087,42428,58060,11127,
420,2140,17374,25113,2014-11-12T00:00:00.000,12135,4518.0,8000,3138,33030,25113,42487,58143,11138,
421,2129,17378,25116,2014-11-13T00:00:00.000,12135,4494.0,8050,3136,33058,25116,42494,58174,11186,
422,2129,17395,25136,2014-11-14T00:00:00.000,12145,4493.0,7994,3121,33003,25136,42531,58139,11115,
423,2127,17433,25189,2014-11-15T00:00:00.000,12172,4489.0,8017,3130,33069,25189,42622,58258,11147,
424,2130,17443,25189,2014-11-16T00:00:00.000,12179,4493.0,8061,3140,33137,25189,42632,58326,11201,
425,2138,17436,25162,2014-11-17T00:00:00.000,12171,4510.0,8072,3171,33189,25162,42598,58351,11243,
426,2134,17422,25153,2014-11-18T00:00:00.000,12166,4502.0,8100,3177,33201,25153,42575,58354,11277,
427,2153,17452,25181,2014-11-19T00:00:00.000,12190,4539.0,8123,3182,33296,25181,42633,58477,11305,
428,2144,17501,25249,2014-11-20T00:00:00.000,12228,4518.0,8110,3184,33313,25249,42750,58562,11294,
429,2133,17524,25259,2014-11-21T00:00:00.000,12241,4493.0,8061,3195,33273,25259,42783,58532,11256,
430,2134,17532,25229,2014-11-22T00:00:00.000,12252,4497.0,8042,3191,33262,25229,42761,58491,11233,
431,2117,17523,25228,2014-11-23T00:00:00.000,12247,4464.0,8067,3187,33241,25228,42751,58469,11254,
432,2124,17535,25240,2014-11-24T00:00:00.000,12248,4477.0,8072,3180,33264,25240,42775,58504,11252,
433,2133,17524,25259,2014-11-21T00:00:00.000,12241,4493.0,8061,3195,33273,25259,42783,58532,11256,
434,2134,17532,25229,2014-11-22T00:00:00.000,12252,4497.0,8042,3191,33262,25229,42761,58491,11233,
435,2117,17523,25228,2014-11-23T00:00:00.000,12247,4464.0,8067,3187,33241,25228,42751,58469,11254,
436,2123,17535,25250,2014-11-25T00:00:00.000,12250,4475.0,8108,3157,33275,25250,42785,58525,11265,
437,2129,17518,25237,2014-11-26T00:00:00.000,12242,4488.0,8096,3154,33256,25237,42755,58493,11250,
438,2144,17530,25266,2014-11-27T00:00:00.000,12254,4521.0,8001,3139,33191,25266,42796,58457,11140,
439,2136,17548,25284,2014-11-28T00:00:00.000,12266,4506.0,8055,3142,33251,25284,42832,58535,11197,
440,2145,17521,25258,2014-11-29T00:00:00.000,12247,4524.0,8062,3156,33263,25258,42779,58521,11218,
441,2140,17522,25253,2014-11-30T00:00:00.000,12243,4514.0,8095,3171,33302,25253,42775,58555,11266,
442,2142,17496,25210,2014-12-01T00:00:00.000,12216,4516.0,8098,3164,33274,25210,42706,58484,11262,
443,2136,17497,25213,2014-12-02T00:00:00.000,12219,4504.0,8108,3184,33293,25213,42710,58506,11292,
444,2141,17550,25288,2014-12-03T00:00:00.000,12252,4512.0,8128,3174,33364,25288,42838,58652,11302,
445,2138,17587,25358,2014-12-04T00:00:00.000,12279,4501.0,8121,3174,33383,25358,42945,58741,11295,
446,2137,17607,25358,2014-12-05T00:00:00.000,12290,4501.0,8078,3162,33348,25358,42965,58706,11240,
447,2145,17594,25341,2014-12-06T00:00:00.000,12284,4517.0,8086,3162,33359,25341,42935,58700,11248,
448,2144,17633,25396,2014-12-07T00:00:00.000,12313,4516.0,8139,3169,33457,25396,43029,58853,11308,
449,2149,17639,25390,2014-12-08T00:00:00.000,12313,4526.0,8156,3187,33508,25390,43029,58898,11343,
450,2149,17657,25405,2014-12-09T00:00:00.000,12332,4528.0,8159,3190,33534,25405,43062,58939,11349,
451,2146,17658,25431,2014-12-10T00:00:00.000,12339,4522.0,8142,3192,33514,25431,43089,58945,11334,
452,2152,17663,25441,2014-12-11T00:00:00.000,12339,4530.0,8139,3186,33518,25441,43104,58959,11325,
453,2145,17690,25463,2014-12-12T00:00:00.000,12350,4518.0,8083,3161,33452,25463,43153,58915,11244,
454,2129,17694,25463,2014-12-13T00:00:00.000,12351,4484.0,8064,3165,33407,25463,43157,58870,11229,
455,2130,17718,25490,2014-12-14T00:00:00.000,12368,4487.0,8143,3181,33529,25490,43208,59019,11324,
456,2137,17696,25442,2014-12-15T00:00:00.000,12345,4502.0,8207,3185,33590,25442,43138,59032,11392,
457,2126,17674,25409,2014-12-16T00:00:00.000,12320,4481.0,8200,3195,33550,25409,43083,58959,11395,
458,2129,17722,25469,2014-12-17T00:00:00.000,12349,4487.0,8218,3172,33599,25469,43191,59068,11390,
459,2124,17733,25447,2014-12-18T00:00:00.000,12353,4477.0,8212,3181,33603,25447,43180,59050,11393,
460,2123,17704,25417,2014-12-19T00:00:00.000,12341,4473.0,8183,3152,33512,25417,43121,58929,11335,
461,2128,17676,25365,2014-12-20T00:00:00.000,12322,4483.0,8155,3141,33455,25365,43041,58820,11296,
462,2136,17695,25383,2014-12-21T00:00:00.000,12333,4500.0,8209,3157,33561,25383,43078,58944,11366,
463,2135,17680,25376,2014-12-22T00:00:00.000,12316,4500.0,8204,3153,33537,25376,43056,58913,11357,
464,2125,17637,25300,2014-12-23T00:00:00.000,12283,4481.0,8180,3138,33436,25300,42937,58736,11318,
465,2122,17590,25239,2014-12-24T00:00:00.000,12245,4472.0,8090,3108,33260,25239,42829,58499,11198,
466,2124,17589,25235,2014-12-25T00:00:00.000,12243,4477.0,8125,3123,33314,25235,42824,58549,11248,
467,2130,17597,25233,2014-12-26T00:00:00.000,12248,4486.0,8147,3123,33353,25233,42830,58586,11270,
468,2127,17574,25193,2014-12-27T00:00:00.000,12229,4481.0,8139,3117,33311,25193,42767,58504,11256,
469,2123,17559,25162,2014-12-28T00:00:00.000,12216,4473.0,8190,3132,33354,25162,42721,58516,11322,
470,2124,17526,25138,2014-12-29T00:00:00.000,12191,4478.0,8235,3164,33403,25138,42664,58541,11399,
471,2123,17472,25048,2014-12-30T00:00:00.000,12146,4472.0,8184,3134,33262,25048,42520,58310,11318,
472,2128,17457,25004,2014-12-31T00:00:00.000,12137,4480.0,7936,3064,32937,25004,42461,57941,11000,
473,2127,17443,24981,2015-01-01T00:00:00.000,12134,4479.0,8143,3096,33161,24981,42424,58142,11239,
474,2116,17469,25018,2015-01-02T00:00:00.000,12148,4457.0,8136,3100,33162,25018,42487,58180,11236,
475,2118,17454,25011,2015-01-03T00:00:00.000,12135,4460.0,8148,3099,33161,25011,42465,58172,11247,
476,2124,17469,25027,2015-01-04T00:00:00.000,12149,4474.0,8218,3142,33303,25027,42496,58330,11360,
477,2132,17459,25015,2015-01-05T00:00:00.000,12135,4490.0,8237,3168,33354,25015,42474,58369,11405,
478,2132,17433,24978,2015-01-06T00:00:00.000,12120,4490.0,8276,3175,33374,24978,42411,58352,11451,
479,2145,17473,25010,2015-01-07T00:00:00.000,12145,4517.0,8304,3170,33464,25010,42483,58474,11474,
480,2153,17511,25034,2015-01-08T00:00:00.000,12173,4533.0,8288,3185,33517,25034,42545,58551,11473,
481,2163,17493,25013,2015-01-09T00:00:00.000,12162,4556.0,8202,3164,33415,25013,42506,58428,11366,
482,2169,17493,25003,2015-01-10T00:00:00.000,12158,4567.0,8259,3165,33484,25003,42496,58487,11424,
483,2170,17510,25014,2015-01-11T00:00:00.000,12166,4570.0,8312,3177,33569,25014,42524,58583,11489,
484,2171,17525,25034,2015-01-12T00:00:00.000,12175,4571.0,8332,3181,33609,25034,42559,58643,11513,
485,2171,17492,25013,2015-01-13T00:00:00.000,12161,4575.0,8360,3188,33615,25013,42505,58628,11548,
486,2174,17506,25004,2015-01-14T00:00:00.000,12167,4582.0,8360,3188,33636,25004,42510,58640,11548,
487,2181,17511,25021,2015-01-15T00:00:00.000,12168,4597.0,8356,3182,33646,25021,42532,58667,11538,
488,2172,17507,25003,2015-01-16T00:00:00.000,12163,4578.0,8356,3180,33621,25003,42510,58624,11536,
489,2166,17491,24982,2015-01-17T00:00:00.000,12151,4566.0,8332,3149,33538,24982,42473,58520,11481,
490,2167,17529,25014,2015-01-18T00:00:00.000,12179,4571.0,8378,3152,33630,25014,42543,58644,11530,
491,2168,17533,25004,2015-01-19T00:00:00.000,12179,4573.0,8408,3173,33687,25004,42537,58691,11581,
492,2171,17507,24998,2015-01-20T00:00:00.000,12163,4580.0,8458,3171,33716,24998,42505,58714,11629,
493,2169,17473,24959,2015-01-21T00:00:00.000,12141,4575.0,8449,3189,33686,24959,42432,58645,11638,
494,2168,17473,24944,2015-01-22T00:00:00.000,12143,4572.0,8478,3188,33711,24944,42417,58655,11666,
495,2165,17466,24934,2015-01-23T00:00:00.000,12141,4562.0,8425,3158,33611,24934,42400,58545,11583,
496,2166,17435,24877,2015-01-24T00:00:00.000,12122,4564.0,8428,3168,33595,24877,42312,58472,11596,
497,2172,17465,24919,2015-01-25T00:00:00.000,12141,4576.0,8478,3189,33708,24919,42384,58627,11667,
498,2162,17442,24890,2015-01-26T00:00:00.000,12120,4555.0,8525,3190,33712,24890,42332,58602,11715,
499,2169,17486,24951,2015-01-27T00:00:00.000,12151,4568.0,8538,3189,33781,24951,42437,58732,11727,
500,2173,17473,24949,2015-01-28T00:00:00.000,12138,4574.0,8541,3186,33774,24949,42422,58723,11727,
501,2162,17437,24915,2015-01-29T00:00:00.000,12118,4549.0,8518,3195,33699,24915,42352,58614,11713,
502,2162,17437,24915,2015-01-29T00:00:00.000,12118,4549.0,8518,3195,33699,24915,42352,58614,11713,
503,2169,17439,24904,2015-01-30T00:00:00.000,12114,4564.0,8440,3159,33602,24904,42343,58506,11599,
504,2163,17406,24844,2015-01-31T00:00:00.000,12084,4550.0,8459,3154,33569,24844,42250,58413,11613,
505,2172,17417,24840,2015-02-01T00:00:00.000,12088,4568.0,8476,3178,33639,24840,42257,58479,11654,
506,2187,17433,24835,2015-02-02T00:00:00.000,12088,4598.0,8535,3186,33752,24835,42268,58587,11721,
507,2171,17364,24720,2015-02-05T00:00:00.000,12034,4563.0,8526,3177,33630,24720,42084,58350,11703,
508,2176,17369,24725,2015-02-06T00:00:00.000,12036,4574.0,8512,3166,33621,24725,42094,58346,11678,
509,2167,17366,24720,2015-02-07T00:00:00.000,12032,4558.0,8455,3163,33542,24720,42086,58262,11618,
510,2173,17384,24739,2015-02-08T00:00:00.000,12045,4570.0,8562,3174,33690,24739,42123,58429,11736,
511,2166,17332,24667,2015-02-10T00:00:00.000,12001,4559.0,8581,3190,33662,24667,41999,58329,11771,
512,2174,17317,24620,2015-02-11T00:00:00.000,11991,4576.0,8588,3187,33668,24620,41937,58288,11775,
513,2169,17305,24588,2015-02-12T00:00:00.000,11972,4565.0,8618,3191,33679,24588,41893,58267,11809,
514,2174,17308,24573,2015-02-13T00:00:00.000,11973,4576.0,8589,3184,33657,24573,41881,58230,11773,
515,2176,17298,24537,2015-02-14T00:00:00.000,11967,4580.0,8522,3152,33552,24537,41835,58089,11674,
516,2181,17301,24548,2015-02-15T00:00:00.000,11970,4590.0,8603,3168,33662,24548,41849,58210,11771,
517,2189,17311,24552,2015-02-16T00:00:00.000,11982,4606.0,8638,3185,33740,24552,41863,58292,11823,
518,2189,17311,24552,2015-02-16T00:00:00.000,11982,4606.0,8638,3185,33740,24552,41863,58292,11823,
519,2184,17325,24574,2015-02-17T00:00:00.000,11992,4598.0,8648,3199,33770,24574,41899,58344,11847,
520,2184,17275,24524,2015-02-18T00:00:00.000,11958,4599.0,8672,3214,33760,24524,41799,58284,11886,
521,2181,17278,24537,2015-02-19T00:00:00.000,11960,4592.0,8651,3211,33732,24537,41815,58269,11862,
522,2178,17256,24519,2015-02-20T00:00:00.000,11959,4585.0,8657,3194,33692,24519,41775,58211,11851,
523,2165,17258,24510,2015-02-21T00:00:00.000,11955,4560.0,8605,3171,33594,24510,41768,58104,11776,
524,2166,17257,24504,2015-02-22T00:00:00.000,11953,4560.0,8643,3192,33652,24504,41761,58156,11835,
525,2168,17216,24486,2015-02-23T00:00:00.000,11929,4565.0,8678,3197,33656,24486,41702,58142,11875,
526,2172,17169,24435,2015-02-24T00:00:00.000,11902,4573.0,8692,3204,33638,24435,41604,58073,11896,
527,2167,17178,24438,2015-02-25T00:00:00.000,11900,4563.0,8695,3209,33645,24438,41616,58083,11904,
528,2153,17174,24414,2015-02-26T00:00:00.000,11897,4537.0,8641,3209,33561,24414,41588,57975,11850,
529,2160,17186,24421,2015-02-27T00:00:00.000,11910,4551.0,8590,3179,33506,24421,41607,57927,11769,
530,2156,17161,24342,2015-02-28T00:00:00.000,11892,4543.0,8631,3162,33497,24342,41503,57839,11793,
531,2164,17184,24370,2015-03-01T00:00:00.000,11911,4555.0,8665,3187,33591,24370,41554,57961,11852,
532,2168,17186,24361,2015-03-02T00:00:00.000,11900,4566.0,8656,3194,33602,24361,41547,57963,11850,
533,2159,17121,24293,2015-03-03T00:00:00.000,11856,4545.0,8657,3203,33526,24293,41414,57819,11860,
534,2160,17148,24330,2015-03-04T00:00:00.000,11882,4549.0,8682,3200,33579,24330,41478,57909,11882,
535,2163,17148,24311,2015-03-05T00:00:00.000,11869,4552.0,8664,3197,33561,24311,41459,57872,11861,
536,2169,17169,24317,2015-03-06T00:00:00.000,11881,4565.0,8624,3191,33549,24317,41486,57866,11815,
537,2172,17195,24353,2015-03-07T00:00:00.000,11903,4572.0,8612,3179,33558,24353,41548,57911,11791,
538,2167,17199,24369,2015-03-08T00:00:00.000,11906,4562.0,8654,3185,33600,24369,41568,57969,11839,
539,2171,17226,24407,2015-03-09T00:00:00.000,11923,4568.0,8624,3202,33620,24407,41633,58027,11826,
540,2150,17116,24273,2015-03-10T00:00:00.000,11856,4526.0,8661,3207,33510,24273,41389,57783,11868,
541,2160,17146,24275,2015-03-12T00:00:00.000,11874,4545.0,8612,3197,33500,24275,41421,57775,11809,
542,2156,17141,24195,2015-03-16T00:00:00.000,11865,4537.0,8678,3206,33562,24195,41336,57757,11884,
543,2158,17123,24174,2015-03-17T00:00:00.000,11853,4545.0,8666,3210,33544,24174,41297,57718,11876,
544,2162,17108,24152,2015-03-18T00:00:00.000,11850,4552.0,8699,3209,33568,24152,41260,57720,11908,
545,2169,17092,24140,2015-03-19T00:00:00.000,11842,4566.0,8650,3207,33515,24140,41232,57655,11857,
546,2174,17089,24116,2015-03-20T00:00:00.000,11835,4578.0,8634,3207,33508,24116,41205,57624,11841,
547,2172,17084,24092,2015-03-21T00:00:00.000,11829,4573.0,8590,3189,33436,24092,41176,57528,11779,
548,2170,17108,24112,2015-03-22T00:00:00.000,11845,4571.0,8678,3206,33563,24112,41220,57675,11884,
549,2173,17067,24071,2015-03-23T00:00:00.000,11814,4576.0,8687,3221,33551,24071,41138,57622,11908,
550,2170,17038,24016,2015-03-24T00:00:00.000,11801,4567.0,8688,3227,33520,24016,41054,57536,11915,
551,2174,17039,24003,2015-03-25T00:00:00.000,11805,4574.0,8704,3237,33554,24003,41042,57557,11941,
552,2172,17017,23968,2015-03-26T00:00:00.000,11782,4569.0,8672,3179,33437,23968,40985,57405,11851,
553,2167,16982,23919,2015-03-27T00:00:00.000,11762,4558.0,8621,3223,33384,23919,40901,57303,11844,
554,2168,16949,23871,2015-03-28T00:00:00.000,11745,4557.0,8601,3213,33320,23871,40820,57191,11814,
555,2174,16969,23903,2015-03-29T00:00:00.000,11764,4568.0,8661,3229,33427,23903,40872,57330,11890,
556,2171,16973,23905,2015-03-30T00:00:00.000,11762,4562.0,8672,3221,33428,23905,40878,57333,11893,
557,2164,16937,23827,2015-03-31T00:00:00.000,11743,4549.0,8642,3211,33339,23827,40764,57166,11853,
558,2172,16932,23824,2015-04-01T00:00:00.000,11749,4564.0,8600,3169,33265,23824,40756,57089,11769,
559,2170,16935,23820,2015-04-02T00:00:00.000,11756,4561.0,8542,3189,33227,23820,40755,57047,11731,
560,2170,16923,23818,2015-04-03T00:00:00.000,11752,4561.0,8505,3194,33183,23818,40741,57001,11699,
561,2174,16909,23798,2015-04-04T00:00:00.000,11749,4572.0,8567,3188,33236,23798,40707,57034,11755,
562,2170,16954,23843,2015-04-05T00:00:00.000,11777,4563.0,8628,3193,33338,23843,40797,57181,11821,
563,2163,16947,23816,2015-04-06T00:00:00.000,11766,4547.0,8642,3195,33331,23816,40763,57147,11837,
564,2163,16879,23723,2015-04-07T00:00:00.000,11724,4546.0,8675,3202,33302,23723,40602,57025,11877,
565,2167,16896,23747,2015-04-08T00:00:00.000,11738,4556.0,8709,3217,33378,23747,40643,57125,11926,
566,2158,16944,23812,2015-04-09T00:00:00.000,11776,4536.0,8699,3210,33389,23812,40756,57201,11909,
567,2150,16914,23747,2015-04-10T00:00:00.000,11765,4520.0,8643,3190,33267,23747,40661,57014,11833,
568,2141,16908,23733,2015-04-11T00:00:00.000,11758,4500.0,8618,3195,33221,23733,40641,56954,11813,
569,2141,16953,23800,2015-04-12T00:00:00.000,11787,4500.0,8678,3217,33348,23800,40753,57148,11895,
570,2137,16922,23776,2015-04-13T00:00:00.000,11766,4490.0,8708,3229,33349,23776,40698,57125,11937,
571,2149,16960,23824,2015-04-14T00:00:00.000,11789,4517.0,8698,3235,33410,23824,40784,57234,11933,
572,2155,16959,23799,2015-04-15T00:00:00.000,11781,4530.0,8686,3237,33412,23799,40758,57211,11923,
573,2139,16929,23777,2015-04-16T00:00:00.000,11767,4492.0,8661,3239,33321,23777,40706,57098,11900,
574,2146,16892,23711,2015-04-17T00:00:00.000,11745,4504.0,8584,3220,33200,23711,40603,56911,11804,
575,2137,16861,23655,2015-04-18T00:00:00.000,11728,4483.0,8537,3191,33072,23655,40516,56727,11728,
576,2139,16877,23686,2015-04-19T00:00:00.000,11745,4487.0,8658,3203,33225,23686,40563,56911,11861,
577,2146,16883,23681,2015-04-21T00:00:00.000,11737,4503.0,8681,3224,33291,23681,40564,56972,11905,
578,2146,16843,23597,2015-04-22T00:00:00.000,11716,4504.0,8697,3239,33283,23597,40440,56880,11936,
579,2147,16864,23621,2015-04-23T00:00:00.000,11736,4508.0,8679,3249,33300,23621,40485,56921,11928,
580,2146,16867,23602,2015-04-24T00:00:00.000,11728,4505.0,8628,3222,33222,23602,40469,56824,11850,
581,2142,16875,23613,2015-04-25T00:00:00.000,11732,4497.0,8581,3230,33183,23613,40488,56796,11811,
582,2137,16900,23650,2015-04-26T00:00:00.000,11749,4487.0,8635,3235,33257,23650,40550,56907,11870,
583,2131,16876,23617,2015-04-27T00:00:00.000,11730,4476.0,8645,3262,33259,23617,40493,56876,11907,
584,2134,16873,23608,2015-04-28T00:00:00.000,11729,4482.0,8627,3257,33239,23608,40481,56847,11884,
585,2125,16873,23614,2015-04-29T00:00:00.000,11735,4463.0,8643,3261,33240,23614,40487,56854,11904,
586,2127,16877,23609,2015-04-30T00:00:00.000,11733,4469.0,8621,3234,33201,23609,40486,56810,11855,
587,2126,16863,23596,2015-05-01T00:00:00.000,11737,4467.0,8429,3200,32959,23596,40459,56555,11629,
588,2128,16825,23561,2015-05-02T00:00:00.000,11712,4473.0,8371,3197,32866,23561,40386,56427,11568,
589,2126,16843,23595,2015-05-03T00:00:00.000,11729,4471.0,8546,3215,33075,23595,40438,56670,11761,
590,2139,16815,23545,2015-05-04T00:00:00.000,11702,4498.0,8561,3221,33095,23545,40360,56640,11782,
591,2142,16800,23522,2015-05-05T00:00:00.000,11689,4506.0,8567,3207,33080,23522,40322,56602,11774,
592,2151,16825,23565,2015-05-06T00:00:00.000,11705,4522.0,8612,3231,33190,23565,40390,56755,11843,
593,2141,16869,23593,2015-05-07T00:00:00.000,11735,4502.0,8579,3225,33175,23593,40462,56768,11804,
594,2145,16877,23595,2015-05-08T00:00:00.000,11743,4508.0,8520,3201,33106,23595,40472,56701,11721,
595,2145,16837,23538,2015-05-09T00:00:00.000,11715,4510.0,8540,3206,33093,23538,40375,56631,11746,
596,2148,16844,23546,2015-05-10T00:00:00.000,11714,4516.0,8555,3209,33124,23546,40390,56670,11764,
597,2152,16833,23532,2015-05-11T00:00:00.000,11704,4522.0,8606,3230,33191,23532,40365,56723,11836,
